time_s	surface_excess_mol_m2	dynamic_surface_tension_N_m
256.0	6.7175278178009e-07	71.89817389261235
256.5	6.725172539870244e-07	71.89817160540252
257.0	6.732811259468666e-07	71.89816931944904
257.5	6.740443991860213e-07	71.89816703474837
258.0	6.748070752235273e-07	71.89816475129696
258.5	6.755691555711352e-07	71.89816246909132
259.0	6.763306417333485e-07	71.89816018812792
259.5	6.770915352074722e-07	71.8981579084033
260.0	6.77851837483655e-07	71.89815562991399
260.5	6.786115500449578e-07	71.89815335265652
261.0	6.793706743673738e-07	71.89815107662749
261.5	6.801292119198981e-07	71.89814880182347
262.0	6.808871641645616e-07	71.89814652824107
262.5	6.816445325564734e-07	71.8981442558769
263.0	6.824013185438764e-07	71.8981419847276
263.5	6.831575235682054e-07	71.89813971478983
264.0	6.839131490641087e-07	71.89813744606025
264.5	6.846681964594835e-07	71.89813517853554
265.0	6.854226671755591e-07	71.89813291221242
265.5	6.861765626269133e-07	71.89813064708758
266.0	6.869298842215277e-07	71.89812838315778
266.5	6.876826333608158e-07	71.89812612041976
267.0	6.88434811439683e-07	71.89812385887026
267.5	6.891864198465537e-07	71.89812159850611
268.0	6.899374599634324e-07	71.89811933932405
268.5	6.90687933165929e-07	71.89811708132093
269.0	6.914378408233003e-07	71.89811482449356
269.5	6.921871842985033e-07	71.8981125688388
270.0	6.929359649482344e-07	71.89811031435347
270.5	6.936841841229493e-07	71.89810806103448
271.0	6.944318431669434e-07	71.89810580887868
271.5	6.951789434183305e-07	71.898103557883
272.0	6.959254862091518e-07	71.89810130804435
272.5	6.966714728653653e-07	71.89809905935965
273.0	6.97416904706907e-07	71.89809681182585
273.5	6.98161783047711e-07	71.89809456543992
274.0	6.989061091957747e-07	71.89809232019881
274.5	6.996498844531779e-07	71.89809007609954
275.0	7.003931101161156e-07	71.89808783313909
275.5	7.011357874749571e-07	71.89808559131447
276.0	7.01877917814258e-07	71.89808335062273
276.5	7.026195024128076e-07	71.89808111106089
277.0	7.033605425436735e-07	71.89807887262604
277.5	7.041010394742449e-07	71.89807663531522
278.0	7.048409944662187e-07	71.89807439912553
278.5	7.055804087756892e-07	71.89807216405408
279.0	7.06319283653163e-07	71.89806993009796
279.5	7.070576203435974e-07	71.8980676972543
280.0	7.077954200864208e-07	71.89806546552025
280.5	7.085326841155899e-07	71.89806323489296
281.0	7.092694136596084e-07	71.89806100536957
281.5	7.100056099415715e-07	71.8980587769473
282.0	7.107412741791714e-07	71.8980565496233
282.5	7.114764075847767e-07	71.8980543233948
283.0	7.122110113654217e-07	71.89805209825901
283.5	7.129450867228785e-07	71.89804987421316
284.0	7.13678634853642e-07	71.89804765125449
284.5	7.144116569490089e-07	71.89804542938025
285.0	7.151441541950809e-07	71.89804320858771
285.5	7.158761277728099e-07	71.89804098887416
286.0	7.166075788580273e-07	71.89803877023688
286.5	7.173385086214519e-07	71.89803655267318
287.0	7.180689182287722e-07	71.89803433618036
287.5	7.187988088406232e-07	71.89803212075576
288.0	7.19528181612652e-07	71.89802990639673
288.5	7.202570376955229e-07	71.8980276931006
289.0	7.209853782349799e-07	71.89802548086476
289.5	7.217132043718377e-07	71.89802326968656
290.0	7.224405172420466e-07	71.89802105956342
290.5	7.231673179766952e-07	71.8980188504927
291.0	7.238936077020558e-07	71.89801664247183
291.5	7.246193875396007e-07	71.89801443549824
292.0	7.25344658606041e-07	71.89801222956936
292.5	7.260694220133616e-07	71.89801002468262
293.0	7.267936788688253e-07	71.89800782083549
293.5	7.275174302750181e-07	71.89800561802544
294.0	7.282406773298784e-07	71.89800341624994
294.5	7.289634211267212e-07	71.89800121550648
295.0	7.296856627542539e-07	71.89799901579256
295.5	7.304074032966219e-07	71.8979968171057
296.0	7.311286438334364e-07	71.89799461944342
296.5	7.318493854397658e-07	71.89799242280327
297.0	7.325696291862134e-07	71.89799022718276
297.5	7.332893761389123e-07	71.89798803257946
